dot_id,x_px,y_px,diameter_px
516,93.71,141.54,2.0
517,135.43,141.57,2.0
518,386.68,142.04,2.0
519,423.0,142.25,2.0
520,226.59,142.61,2.24
521,378.51,143.32,2.0
522,323.09,143.8,2.0
523,329.04,144.07,2.0
524,421.0,144.31,2.0
525,329.14,144.55,2.0
526,69.22,144.84,2.24
527,116.3,145.17,2.0
528,374.92,145.57,2.96
529,247.88,145.63,2.24
530,82.6,145.98,2.0
531,233.0,146.0,2.0
532,284.61,146.76,2.24
533,77.0,146.99,2.0
534,86.94,147.25,2.0
535,274.29,147.58,2.24
536,392.44,147.63,2.0
537,317.37,147.73,2.0
538,286.74,147.74,2.24
539,231.36,147.79,2.0
540,265.4,147.85,2.96
541,344.85,147.9,2.0
542,282.09,147.98,2.0
543,120.45,148.05,2.0
544,81.89,148.92,2.0
545,230.56,149.26,2.24
546,383.15,149.38,2.0
547,269.2,149.45,3.16
548,339.45,149.95,2.0
549,304.1,149.97,2.0
550,95.89,150.0,2.0
551,409.68,150.01,2.0
552,242.72,150.07,2.0
553,113.58,150.35,2.0
554,357.36,151.18,2.0
555,107.0,151.5,2.0
556,76.36,151.85,2.24
557,362.91,152.37,2.0
558,305.5,152.83,2.0
559,128.33,153.0,2.0
560,369.97,153.45,2.24
561,397.15,153.77,2.0
562,338.42,154.1,2.24
563,310.04,154.16,2.0
564,381.31,154.24,2.0
565,350.78,154.27,2.0
566,273.9,154.45,2.24
567,340.77,154.54,2.0
568,297.6,154.66,2.24
569,85.69,155.28,2.0
570,89.41,155.89,2.0
571,292.33,155.95,2.0
572,320.37,156.08,2.0
573,381.81,156.16,3.61
574,114.88,156.18,2.24
575,268.82,156.62,3.16
576,318.14,156.75,2.0
577,240.75,157.0,2.24
578,335.0,157.06,2.0
579,357.24,157.1,2.0
580,125.01,157.24,2.0
581,235.0,157.53,2.0
582,260.05,157.88,2.24
583,281.02,157.96,2.24
584,223.92,158.61,2.0
585,99.33,158.67,2.0
586,243.95,159.0,2.0
587,88.0,159.33,2.0
588,221.4,159.8,2.0
589,397.29,160.0,2.0
590,318.46,160.01,2.0
591,223.67,161.08,2.0
592,373.76,161.59,2.0
593,284.78,161.72,2.0
594,394.28,161.85,2.0
595,101.27,161.88,2.0
596,267.87,162.32,2.0
597,253.89,162.56,2.24
598,102.25,163.04,2.0
599,336.14,163.13,2.0
600,314.17,163.34,2.24
601,291.0,163.81,2.24
602,289.07,164.33,3.61
603,237.78,164.59,2.0
604,86.09,164.95,2.0
605,277.46,165.1,2.96
606,274.71,165.26,2.0
607,377.96,165.64,2.0
608,330.5,166.03,2.0
609,285.39,166.17,2.0
610,267.18,166.4,2.0
611,96.02,166.54,2.0
612,282.02,166.69,2.0
613,123.86,166.93,2.0
614,356.87,167.36,2.0
615,246.83,167.65,2.24
616,293.92,168.0,2.24
617,254.5,168.12,2.0
618,249.29,168.13,2.24
619,251.5,168.5,2.0
620,395.61,168.53,2.0
621,309.14,168.59,2.0
622,348.32,168.94,2.0
623,377.37,169.22,2.0
624,244.56,169.3,2.0
625,353.57,169.42,2.0
626,342.43,169.44,2.0
627,226.07,169.48,2.0
628,347.0,169.75,3.61
629,371.64,169.89,2.0
630,333.35,170.45,2.24
631,290.04,170.7,2.24
632,95.32,170.71,2.0
633,223.58,170.87,2.0
634,213.91,171.11,2.0
635,351.03,171.13,2.0
636,383.84,171.33,2.0
637,358.67,171.61,2.0
638,228.94,171.84,2.24
639,393.15,172.08,2.0
640,298.88,172.61,2.0
641,113.88,172.7,2.24
642,240.84,173.42,2.0
643,339.25,173.5,2.24
644,312.22,173.62,4.55
645,133.45,173.68,2.24
646,261.58,173.73,2.0
647,106.79,174.38,2.0
648,268.17,174.61,2.0
649,254.63,174.96,2.0
650,375.21,175.27,2.0
651,293.39,175.46,2.0
652,143.98,175.7,2.24
653,134.75,176.0,2.24
654,368.66,176.16,2.0
655,229.57,176.73,2.24
656,337.92,177.72,2.0
657,99.66,177.74,2.96
658,296.7,177.85,2.0
659,274.83,177.98,2.0
660,125.35,178.02,2.0
661,295.65,178.02,2.0
662,116.63,178.18,2.0
663,248.4,179.24,2.0
664,108.0,179.38,2.24
665,256.17,180.5,2.24
666,139.98,181.03,2.0
667,400.5,181.11,2.0
668,222.33,181.18,2.0
669,263.14,182.52,3.16
670,338.43,183.07,2.0
671,118.58,183.18,2.24
672,278.98,183.83,2.24
673,231.95,184.29,2.0
674,341.69,185.36,2.0
675,397.43,185.48,2.0
676,290.0,186.0,2.24
677,226.77,186.04,2.24
678,140.98,186.62,2.0
679,233.63,186.92,2.24
680,373.0,187.04,2.24
681,153.5,187.75,2.24
682,216.58,187.83,2.24
683,229.33,187.97,2.0
684,373.65,188.6,3.85
685,281.25,188.75,2.24
686,251.58,188.94,2.24
687,151.76,188.97,2.0
688,397.51,189.26,3.85
689,292.94,189.92,2.0
690,247.81,190.35,2.0
691,132.06,190.38,2.0
692,278.1,190.51,2.0
693,130.33,191.28,2.0
694,256.92,191.36,2.0
695,261.69,191.45,2.0
696,136.96,192.73,2.0
697,274.49,192.82,2.24
698,271.64,193.61,2.0
699,125.21,193.87,2.24
700,244.77,193.96,2.0
701,152.89,194.17,2.0
702,369.74,194.39,2.0
703,302.22,194.62,3.16
704,162.01,195.17,2.24
705,291.0,195.46,2.0
706,145.12,195.53,2.0
707,261.44,195.79,2.0
708,404.16,195.85,2.0
709,364.34,195.86,2.24
710,370.96,196.08,2.0
711,163.94,196.78,2.24
712,128.0,198.93,2.24
713,255.22,198.97,2.0
714,391.54,199.99,2.0
715,402.07,200.03,2.24
716,286.47,200.53,2.0
717,151.29,200.71,2.0
718,276.91,200.88,2.24
719,138.71,201.89,2.0
720,110.43,201.98,2.0
721,383.82,202.47,2.0
722,136.15,202.65,2.96
723,143.64,202.7,2.24
724,410.42,202.72,2.0
725,393.02,202.87,2.24
726,277.0,203.07,4.01
727,382.0,203.25,2.24
728,377.55,203.41,2.0
729,287.6,203.43,2.24
730,392.69,204.37,2.24
731,287.14,204.46,2.0
732,253.5,205.0,2.0
733,247.64,205.09,3.91
734,174.23,205.77,2.24
735,128.69,205.95,2.24
736,164.14,206.06,2.24
737,416.57,206.19,2.24
738,389.14,206.62,2.0
739,152.49,207.36,2.0
740,378.17,207.5,2.0
741,160.1,208.4,2.24
742,140.74,209.04,2.0
743,158.18,209.19,2.0
744,424.0,209.25,2.0
745,183.25,209.28,2.24
746,184.0,209.8,2.24
747,435.87,210.19,2.0
748,439.35,210.35,2.0
749,169.53,210.99,2.0
750,132.64,211.1,2.0
751,277.54,211.23,2.0
752,286.93,212.07,2.96
753,397.97,212.31,2.24
754,283.38,212.87,2.24
755,272.65,212.89,2.0
756,446.48,212.99,2.0
757,274.4,213.9,2.0
758,135.5,214.0,2.0
759,259.67,214.41,2.0
760,257.29,214.59,2.96
761,454.2,215.7,2.0
762,179.69,216.85,2.0
763,429.75,217.38,2.24
764,423.05,217.52,2.0
765,302.33,217.8,2.96
766,280.61,218.13,2.0
767,419.83,218.33,2.0
768,286.26,218.43,2.0
769,258.64,218.92,2.0
770,270.86,219.14,2.0
771,405.42,219.27,2.24
772,144.38,219.63,2.0
773,140.27,219.65,2.24
774,411.74,219.94,2.24
775,144.97,220.49,2.0
776,181.16,220.62,2.24
777,300.41,220.71,3.16
778,417.22,220.75,2.24
779,428.61,221.12,2.0
780,411.29,221.24,2.0
781,272.38,221.45,2.24
782,428.81,221.5,2.0
783,169.81,221.68,2.0
784,298.04,221.69,2.24
785,290.42,222.01,2.24
786,165.45,222.2,2.0
787,131.13,222.3,2.96
788,413.31,222.51,2.0
789,148.46,223.78,2.24
790,297.6,223.86,2.24
791,404.47,224.44,2.24
792,172.67,225.06,2.0
793,263.12,227.12,2.24
794,167.42,227.58,2.24
795,150.49,227.7,2.0
796,394.93,227.79,2.24
797,424.75,227.95,2.0
798,138.33,228.27,2.24
799,271.4,228.69,2.0
800,161.22,228.82,2.0
801,296.23,229.65,2.0
802,411.9,230.18,2.0
803,253.83,230.19,2.0
804,137.74,230.56,2.0
805,458.6,231.54,2.96
806,280.12,233.2,2.0
807,391.82,233.25,2.0
808,150.38,233.49,2.24
809,401.89,233.49,2.0
810,415.15,233.53,2.24
811,264.58,234.08,2.0
812,435.03,235.34,2.0
813,296.94,235.63,2.24
814,174.98,236.3,2.96
815,416.88,236.38,2.24
816,444.5,237.0,2.24
817,394.15,237.2,2.24
818,272.53,237.33,2.24
819,139.05,237.42,2.24
820,419.77,237.44,2.0
821,163.5,237.83,4.12
822,162.24,238.79,2.0
823,266.57,239.18,2.0
824,256.7,240.0,2.0
825,271.92,240.22,2.24
826,394.22,240.24,2.0
827,398.75,240.48,2.0
828,147.55,242.43,2.24
829,141.53,242.68,2.0
830,168.36,243.07,2.0
831,399.93,243.32,2.24
832,439.76,243.43,2.0
833,259.79,243.5,2.0
834,431.86,243.63,2.0
835,420.24,243.77,2.0
836,158.48,244.2,2.24
837,428.5,244.67,2.24
838,139.62,244.92,2.0
839,409.15,245.5,2.0
840,430.2,245.98,2.0
841,434.61,246.03,2.24
842,411.58,247.13,2.0
843,263.71,247.16,2.0
844,393.49,247.52,2.24
845,154.86,248.09,2.0
846,149.96,248.12,2.0
847,425.82,248.34,2.24
848,272.08,248.8,4.16
849,427.09,250.52,2.24
850,259.0,251.0,2.0
851,469.46,251.29,2.24
852,136.55,251.95,2.24
853,440.42,253.03,2.96
854,153.3,255.05,2.24
855,147.18,255.18,2.24
856,470.71,255.31,2.24
857,435.18,257.42,2.0
858,431.41,257.54,2.0
859,434.43,258.0,2.0
860,477.4,259.15,2.96
861,135.0,259.75,4.12
862,140.86,260.31,2.24
863,469.63,261.57,2.0
864,139.07,263.17,2.0
865,134.52,263.77,2.0
866,464.31,268.28,2.24
867,139.67,270.03,2.24
868,136.61,270.77,2.0
869,131.67,270.83,2.0
870,137.05,276.99,2.0
871,133.17,280.17,2.24
872,140.53,285.07,2.0
